# Completeness = 2999/1142679769
ra_ep2000	dec_ep2000	errHalfMaj	errHalfMin	errPosAng	ra	dec	source_id	ref_epoch	ra_error	dec_error	parallax	parallax_error	pm.ra	pm.ra_error	pm.dec	pm.dec_error	ra_dec_corr	duplicated_source	phot_g_n_obs	phot_g_mean_flux	phot_g_mean_flux_error	phot_g_mean_mag	phot_variable_flag	l	b
44.0576433714	8.3811903236	0.00027	0.00020	0	44.0576433714	8.3811903236	8810116090530816	2015.0	0.203	0.270							0.069	0	47	7.43609e+07	3.10026e+05	5.846	NOT_AVAILABLE	167.7574862573	-43.3682756802
41.3371103173	4.7116314629	0.00069	0.00060	90	41.3374023293	4.7114618825	5850329572710528	2015.0	0.510	0.457	20.95	0.74	69.846	0.031	-40.699	0.026	-0.302	0	90	6.65100e+07	1.57020e+05	5.968	NOT_AVAILABLE	168.0922036313	-47.9194499559
47.1616325245	8.4710717901	0.00058	0.00047	90	47.1616204050	8.4713818317	13898789047770240	2015.0	0.351	0.293	8.02	0.41	-2.877	0.031	74.410	0.025	0.051	0	103	6.95135e+07	1.24590e+05	5.920	NOT_AVAILABLE	170.8307859999	-41.3001882182
52.6098868831	10.4587692824	0.00088	0.00040	90	52.6099044922	10.4586855774	13247981243475840	2015.0	0.541	0.260	3.93	0.40	4.156	0.047	-20.089	0.021	-0.473	0	69	4.64497e+07	2.52857e+04	6.357	NOT_AVAILABLE	174.0918694658	-36.1651365739
39.1579866463	12.4476359631	0.00084	0.00056	90	39.1591871250	12.4472754635	26531765334131200	2015.0	0.640	0.405	28.87	0.62	281.342	0.036	-86.521	0.026	-0.209	0	74	1.09088e+08	1.33670e+04	5.430	NOT_AVAILABLE	159.1383668829	-42.9083031002
38.7671987749	7.4705030757	0.00029	0.00024	0	38.7671987749	7.4705030757	19400298556802432	2015.0	0.240	0.289							-0.218	0	71	7.72729e+07	1.50654e+05	5.805	NOT_AVAILABLE	162.6007080472	-47.2618750476
47.7626815349	14.8000486547	0.00063	0.00056	90	47.7626815349	14.8000486547	30983069439839360	2015.0	0.633	0.561							-0.070	0	25	1.12254e+08	1.93163e+06	5.399	NOT_AVAILABLE	166.1420149670	-36.1003848188
41.9975647048	15.5080214948	0.00068	0.00047	90	41.9975953867	15.5079116574	33345713769531264	2015.0	0.274	0.187	3.61	0.28	7.096	0.041	-26.361	0.028	-0.034	0	39	5.68320e+07	9.55868e+04	6.138	NOT_AVAILABLE	159.9717550697	-38.8394928546
53.3996646327	14.6784918205	0.00087	0.00058	90	53.3996673137	14.6784846691	42228943088472704	2015.0	0.480	0.393	2.51	0.59	0.622	0.048	-1.716	0.028	0.553	0	299	5.53044e+07	4.70266e+04	6.168	NOT_AVAILABLE	171.2054114338	-32.5971484155
57.8161308617	13.0460756296	0.00069	0.00029	90	57.8162300641	13.0459798545	37136829861862272	2015.0	0.525	0.209	6.48	0.55	23.194	0.030	-22.986	0.013	-0.067	0	330	4.89448e+07	6.20596e+04	6.301	NOT_AVAILABLE	176.1157601979	-30.7041718059
59.8321137269	13.9750434678	0.00059	0.00033	90	59.8320720511	13.9747920571	39127495664391168	2015.0	0.299	0.154	6.46	0.34	-9.706	0.034	-60.339	0.020	0.239	1	128	4.84763e+07	2.02779e+04	6.311	NOT_AVAILABLE	176.8550322805	-28.6324890859
67.1546443696	19.1802828527	0.00106	0.00101	90	67.1546443696	19.1802828527	48026770980471808	2015.0	1.061	1.013							-0.104	0	116	4.86086e+08	9.33909e+06	3.808	NOT_AVAILABLE	177.5968030298	-19.9234027382
65.5947063313	20.8214141322	0.00116	0.00065	90	65.5946956294	20.8214059419	49177616057932160	2015.0	0.895	0.485	2.56	0.96	-2.401	0.049	-1.966	0.029	-0.072	0	122	1.57789e+08	1.00065e+06	5.030	NOT_AVAILABLE	175.2565520550	-19.9751056643
61.9975699622	17.3398974271	0.00118	0.00052	90	61.9976087066	17.3398568978	46741441887613440	2015.0	0.890	0.352	7.96	0.88	8.876	0.051	-9.727	0.026	0.008	0	115	1.26170e+08	6.04101e+05	5.272	NOT_AVAILABLE	175.6288682431	-24.8283417577
52.1106983913	22.8040092582	0.00090	0.00052	90	52.1107016455	22.8035503452	61891990563867776	2015.0	0.431	0.336	14.36	0.50	0.720	0.052	-110.139	0.026	0.238	0	176	8.44790e+07	1.75606e+05	5.708	NOT_AVAILABLE	163.9544366355	-27.2964056935
55.9467237409	19.6650351119	0.00105	0.00050	90	55.9472388974	19.6648038794	57064069366541952	2015.0	0.821	0.359	8.84	0.92	116.427	0.044	-55.496	0.023	0.300	0	127	7.73220e+07	2.44706e+05	5.804	NOT_AVAILABLE	169.3086314135	-27.2975622029
53.5349090749	17.8328285500	0.00060	0.00029	90	53.5353218655	17.8315349854	56413776958083712	2015.0	0.319	0.178	23.94	0.38	94.310	0.034	-310.456	0.015	0.437	0	156	7.41124e+07	1.47530e+05	5.850	NOT_AVAILABLE	168.8097529631	-30.1933083324
56.4567903657	24.3675538892	0.00082	0.00073	90	56.4567903657	24.3675538892	65283228021726464	2015.0	0.817	0.731							-0.055	0	100	2.76900e+08	4.85878e+06	4.419	NOT_AVAILABLE	166.1708709879	-23.5146009842
61.0903033362	24.1059997359	0.00121	0.00039	90	61.0902971132	24.1059539412	66010692402156928	2015.0	0.987	0.282	2.97	0.91	-1.363	0.047	-10.991	0.018	-0.167	0	312	1.41940e+08	5.11363e+05	5.145	NOT_AVAILABLE	169.6674111174	-20.7880739641
57.0272492648	24.9884159297	0.00087	0.00064	90	57.0271155462	24.9882976488	66830275243083520	2015.0	0.537	0.393	4.27	0.61	-29.088	0.046	-28.387	0.034	0.478	1	47	1.04318e+08	3.14555e+05	5.479	NOT_AVAILABLE	166.1360808657	-22.7066011495
56.2906768455	24.8390701671	0.00042	0.00035	90	56.2906768455	24.8390701671	69812941049933184	2015.0	0.423	0.346							-0.111	0	116	8.43025e+07	2.52061e+05	5.710	NOT_AVAILABLE	165.7053703492	-23.2644072801
30.6461532118	13.4767200414	0.00113	0.00083	90	30.6461451585	13.4767068374	76911594277176576	2015.0	0.912	0.657	4.26	1.00	-1.880	0.045	-3.169	0.034	-0.461	0	65	1.65356e+08	1.99326e+06	4.979	NOT_AVAILABLE	148.1895786421	-45.8768785579
38.2255028879	15.0347400931	0.00035	0.00030	90	38.2255028879	15.0347400931	75349604866109184	2015.0	0.352	0.296							-0.003	0	72	7.52065e+07	1.53199e+05	5.834	NOT_AVAILABLE	156.2764592585	-41.1757787758
42.6775313871	19.1604769727	0.00064	0.00049	90	42.6783448646	19.1601768396	84183764183459456	2015.0	0.315	0.246	16.31	0.36	184.419	0.037	-72.032	0.029	-0.064	0	86	4.25044e+07	2.35662e+04	6.454	NOT_AVAILABLE	158.1344064573	-35.4310601743
43.7076532923	20.3730664144	0.00077	0.00058	90	43.7077981476	20.3730437155	84420640219834496	2015.0	0.221	0.170	5.05	0.24	32.591	0.049	-5.448	0.037	0.054	0	66	4.15940e+07	2.13648e+04	6.477	NOT_AVAILABLE	158.3151116824	-33.8859163973
32.6566538897	19.5003373931	0.00099	0.00094	0	32.6570459937	19.5002237267	93118704908241024	2015.0	0.738	0.807	4.51	0.83	88.707	0.039	-27.280	0.039	0.377	0	60	2.23950e+08	1.44856e+06	4.649	NOT_AVAILABLE	147.4030546674	-39.5789612370
29.3379013625	17.8174715461	0.00105	0.00101	90	29.3379013625	17.8174715461	91181571578547328	2015.0	1.052	1.011							0.053	0	49	1.80539e+08	3.62777e+06	4.883	NOT_AVAILABLE	144.3454267136	-42.2970812676
33.2010894700	21.2110152720	0.00047	0.00041	90	33.2010894700	21.2110152720	99495498687247232	2015.0	0.469	0.410							0.038	0	64	1.37823e+08	1.29338e+06	5.176	NOT_AVAILABLE	147.1467338817	-37.8050010845
30.9139359453	25.9354782985	0.00069	0.00062	90	30.9145230405	25.9355291824	105599982953518208	2015.0	0.349	0.396	18.20	0.46	126.712	0.040	12.212	0.032	0.473	0	67	9.00345e+07	2.48938e+05	5.639	NOT_AVAILABLE	142.6158491347	-34.1606735266
45.8756537080	28.2699184065	0.00079	0.00067	90	45.8759659303	28.2698538465	116682304243400960	2015.0	0.599	0.510	17.70	0.75	65.996	0.034	-15.494	0.029	-0.057	0	187	4.93251e+07	3.50236e+04	6.292	NOT_AVAILABLE	155.2608084181	-26.1863619010
48.5714801953	22.9537695638	0.00098	0.00058	90	48.5717506081	22.9537368537	110492466096186624	2015.0	0.220	0.176	6.56	0.25	59.760	0.063	-7.850	0.037	0.278	0	174	4.63959e+07	2.73256e+04	6.359	NOT_AVAILABLE	160.9301205887	-29.1821220988
45.6084429719	26.6092390016	0.00056	0.00048	0	45.6095293941	26.6085373144	115311453761724544	2015.0	0.271	0.401	46.61	0.82	233.124	0.026	-168.406	0.026	0.240	1	37	4.45843e+07	3.26473e+04	6.402	NOT_AVAILABLE	156.0482136906	-27.7105874080
50.0848090442	29.0483917122	0.00089	0.00082	90	50.0848090442	29.0483917122	119186132738212736	2015.0	0.891	0.824							-0.005	0	103	3.66618e+08	7.78451e+06	4.114	NOT_AVAILABLE	158.1375415321	-23.4606529359
49.4168619825	31.1270446415	0.00058	0.00051	90	49.4163655621	31.1268029590	122704226349484928	2015.0	0.291	0.327	37.81	0.57	-101.987	0.034	-58.004	0.027	-0.565	0	67	5.23041e+07	1.15527e+05	6.228	NOT_AVAILABLE	156.3198758809	-22.1019989808
51.6476229833	28.7146338542	0.00047	0.00037	90	51.6476229833	28.7146338542	118986055981700352	2015.0	0.471	0.372							-0.275	0	103	5.11315e+07	6.32464e+05	6.253	NOT_AVAILABLE	159.5491996158	-22.9128000967
36.8657137549	31.8012805494	0.00063	0.00061	90	36.8655939965	31.8011637096	132751804122363392	2015.0	0.480	0.493	10.84	0.66	-24.427	0.027	-28.042	0.024	0.218	0	91	1.36773e+08	5.84100e+05	5.185	NOT_AVAILABLE	145.7200192671	-26.7865465939
43.9219789009	31.0430969949	0.00084	0.00053	90	43.9219854348	31.0430473853	129455090305711872	2015.0	0.550	0.340	2.70	0.58	1.344	0.042	-11.906	0.027	0.084	0	132	1.02452e+08	2.35413e+05	5.498	NOT_AVAILABLE	152.0517110213	-24.7108612594
39.1792997862	31.6076670174	0.00057	0.00039	90	39.1791674855	31.6076689129	133296302896676608	2015.0	0.306	0.210	8.95	0.33	-27.042	0.032	0.455	0.022	0.112	0	98	8.38526e+07	2.04250e+05	5.716	NOT_AVAILABLE	147.8039186654	-26.1299358346
44.6904284781	39.6625538159	0.00072	0.00063	90	44.6904284781	39.6625538159	143652705997481984	2015.0	0.716	0.631							-0.097	0	96	1.71273e+08	2.07114e+06	4.941	NOT_AVAILABLE	148.0436987002	-16.9209264825
44.9162399543	41.0327436811	0.00339	0.00145	90	44.9162399543	41.0327436811	144057463715699840	2015.0	3.387	1.452							0.841	0	77	1.22261e+08	5.67229e+05	5.307	NOT_AVAILABLE	147.4996647419	-15.6425138328
44.5096974816	38.6149271360	0.00062	0.00051	90	44.5096661838	38.6148563919	143183833007867904	2015.0	0.401	0.317	4.53	0.48	-5.869	0.032	-16.979	0.026	-0.510	0	104	1.02183e+08	3.15940e+05	5.501	NOT_AVAILABLE	148.4544563689	-17.9026168464
42.7200913566	35.3939071018	0.00074	0.00062	90	42.7203619641	35.3939132239	140480718030507008	2015.0	0.357	0.304	4.00	0.43	52.943	0.043	1.469	0.036	0.308	0	61	7.32004e+07	2.30249e+05	5.863	NOT_AVAILABLE	148.7791190490	-21.4127926540
66.5774175738	22.8133890483	0.00086	0.00082	90	66.5774175738	22.8133890483	145727724961064704	2015.0	0.860	0.815							-0.119	0	171	2.63796e+08	3.48001e+06	4.472	NOT_AVAILABLE	174.3022987769	-17.9786019806
65.6456938360	25.6292450571	0.00535	0.00131	90	65.6456938360	25.6292450571	150461088155074560	2015.0	5.350	1.310							0.847	0	77	1.06537e+08	6.24299e+05	5.456	NOT_AVAILABLE	171.5061441790	-16.7421184573
65.9340672639	22.9647984812	0.00079	0.00050	90	65.9340660701	22.9647413477	145788335535696256	2015.0	0.403	0.220	3.16	0.43	-0.264	0.045	-13.712	0.030	0.557	0	197	7.80452e+07	1.08313e+05	5.794	NOT_AVAILABLE	173.7713119419	-18.3244490020
69.1218965271	23.3406357577	0.00059	0.00045	90	69.1218965271	23.3406357577	146740203370599296	2015.0	0.594	0.447							-0.603	0	41	7.19195e+07	2.42856e+05	5.883	NOT_AVAILABLE	175.4672653640	-15.8536575745
76.0606876108	30.4945797894	0.00068	0.00062	90	76.0607444048	30.4945114752	157092242782945024	2015.0	0.465	0.476	5.29	0.57	11.745	0.033	-16.395	0.027	-0.325	0	97	8.46017e+07	1.90375e+05	5.706	NOT_AVAILABLE	173.6653427944	-6.5669182641
70.3323357472	28.6149927806	0.00160	0.00108	90	70.3325141092	28.6148662286	157860457813268864	2015.0	1.312	0.888	10.54	0.96	37.578	0.061	-30.373	0.041	-0.618	0	69	7.92874e+07	2.99166e+05	5.777	NOT_AVAILABLE	172.0176250324	-11.6372056436
68.6583033840	28.9611511608	0.00080	0.00065	90	68.6583087186	28.9610614589	158774701731104512	2015.0	0.629	0.528	7.62	0.71	1.120	0.033	-21.528	0.025	-0.182	0	98	6.99320e+07	1.55139e+05	5.913	NOT_AVAILABLE	170.7735303153	-12.5276059188
77.6457305081	30.7975406246	0.00076	0.00052	90	77.6457292312	30.7975273160	156422502764418816	2015.0	0.297	0.278	1.39	0.33	-0.263	0.046	-3.194	0.029	-0.408	0	103	6.30726e+07	5.12851e+04	6.025	NOT_AVAILABLE	174.2352562575	-5.2902424348
72.8802689535	28.5269079338	0.00091	0.00076	90	72.8802582275	28.5268756203	155132191506964480	2015.0	0.494	0.424	1.46	0.62	-2.262	0.051	-7.755	0.042	-0.255	0	76	6.11561e+07	2.93794e+05	6.059	NOT_AVAILABLE	173.5278417756	-9.9598795085
65.0414469788	31.9531755210	0.00077	0.00054	90	65.0414393109	31.9531217649	166534333245556992	2015.0	0.571	0.423	5.25	0.66	-1.561	0.035	-12.901	0.023	-0.003	0	93	1.18746e+08	5.12940e+05	5.338	NOT_AVAILABLE	166.3544586235	-12.8088628426
62.7077535533	26.4809544148	0.00116	0.00062	90	62.7076096541	26.4808084894	162405529644328960	2015.0	0.946	0.494	15.95	0.97	-30.912	0.044	-35.022	0.025	0.050	0	151	1.16998e+08	5.12839e+05	5.354	NOT_AVAILABLE	168.9601511639	-18.0801436715
63.2435122921	32.5327267548	0.00074	0.00038	90	63.2434795991	32.5326512594	169581183047085824	2015.0	0.498	0.204	3.69	0.55	-6.615	0.037	-18.119	0.021	0.593	0	229	7.79051e+07	1.44943e+05	5.796	NOT_AVAILABLE	164.8352802815	-13.4869799676
